Page,Component / Block,Gutenberg Block(s),Source File,Content Type,Repeating Pattern,ACF Fields Needed,Recommendation,Justification
Hub — Licencias,Tipo de Trámite List,intt/tipo-tramite-list,templates/taxonomy-tipo_tramite.html,Dynamic — taxonomy query,No,—,Stay Gutenberg,Server-side renders all tipo_tramite terms with links and active-state styling; no editor-facing fields; already optimal as custom Gutenberg block with SSR
Hub — Licencias,Archive Title (current term name),core/query-title,templates/taxonomy-tipo_tramite.html,Dynamic — WP context,No,—,Stay Gutenberg,Native WP block; renders current taxonomy term name automatically; no customization needed
Hub — Licencias,Term Description,core/term-description,templates/taxonomy-tipo_tramite.html,Dynamic — WP context,No,—,Stay Gutenberg,Native WP block; outputs taxonomy term description from database; editorial via Taxonomy admin
Hub — Licencias,Tramite Query A–Z,core/query + core/post-template + core/post-title + core/post-excerpt,templates/taxonomy-tipo_tramite.html,Dynamic — WP_Query (inherit),No,—,Stay Gutenberg,Inherits taxonomy URL context; queries tramite CPT filtered to current tipo_tramite term; Gutenberg Query block handles this perfectly without custom code
Hub — Licencias,Query Pagination,core/query-pagination,templates/taxonomy-tipo_tramite.html,Dynamic,No,—,Stay Gutenberg,Native WP pagination block
Hub — Licencias,Query No Results,core/query-no-results + core/paragraph,templates/taxonomy-tipo_tramite.html,Static fallback,No,—,Stay Gutenberg,Standard empty-state fallback; no conversion value
Archive — All Tramites,Sidebar with Tipo de Trámite List,core/column + core/heading + intt/tipo-tramite-list,templates/archive-tramite.html,Dynamic — taxonomy query,No,—,Stay Gutenberg,Identical to hub sidebar; serves as navigation filter panel for the full tramite archive
Archive — All Tramites,Main Column Header,core/query-title + core/term-description + core/paragraph (A–Z),templates/archive-tramite.html,Dynamic / Static,No,—,Stay Gutenberg,Mix of dynamic WP context blocks and a static label; no editorial fields
Archive — All Tramites,Tramite Query A–Z,core/query + core/post-template + core/post-title + core/post-excerpt,templates/archive-tramite.html,Dynamic — WP_Query (inherit),No,—,Stay Gutenberg,Same pattern as hub page query; inherits archive context; pulls all tramites A-Z; perPage:10 with pagination
Archive — All Tramites,Query Pagination,core/query-pagination,templates/archive-tramite.html,Dynamic,No,—,Stay Gutenberg,Native WP pagination block
Archive — All Tramites,Query No Results,core/query-no-results + core/paragraph,templates/archive-tramite.html,Static fallback,No,—,Stay Gutenberg,Standard empty-state fallback
